PortfolioName,AssetTicker,Weight
USD LowVol Full,LHTRYIN,0.62
USD LowVol Full,LHYIELD,0.1
USD LowVol Full,FRUS1GR,0.0352
USD LowVol Full,FRUS1VA,0.0352
USD LowVol Full,CSTLNSH,0.028
USD LowVol Full,CSTEVDH,0.0245
USD LowVol Full,MSEMKF$,0.024
USD LowVol Full,MSEXUKL,0.0224
USD LowVol Full,CSFBMTT,0.0175
USD LowVol Full,PE_BUYOUT,0.0165
USD LowVol Full,FRUSS2L,0.0128
USD LowVol Full,PRIVATE_CREDIT,0.012
USD LowVol Full,MSJPANL,0.0112
USD LowVol Full,MSPXJPL,0.0112
USD LowVol Full,PE_GROWTH,0.009
USD LowVol Full,MSUTDKL,0.008
USD LowVol Full,PA_REAL_ESTATE,0.008
USD LowVol Full,PE_VENTURE,0.0045
USD LowVol Core,LHTRYIN,0.652632
USD LowVol Core,LHYIELD,0.105263
USD LowVol Core,FRUS1GR,0.037053
USD LowVol Core,FRUS1VA,0.037053
USD LowVol Core,CSTLNSH,0.029474
USD LowVol Core,CSTEVDH,0.025789
USD LowVol Core,MSEMKF$,0.025263
USD LowVol Core,MSEXUKL,0.023579
USD LowVol Core,CSFBMTT,0.018421
USD LowVol Core,FRUSS2L,0.013474
USD LowVol Core,MSJPANL,0.011789
USD LowVol Core,MSPXJPL,0.011789
USD LowVol Core,MSUTDKL,0.008421
USD LowVol ex-Alts,LHTRYIN,0.704546
USD LowVol ex-Alts,LHYIELD,0.113636
USD LowVol ex-Alts,FRUS1GR,0.04
USD LowVol ex-Alts,FRUS1VA,0.04
USD LowVol ex-Alts,MSEMKF$,0.027273
USD LowVol ex-Alts,MSEXUKL,0.025455
USD LowVol ex-Alts,FRUSS2L,0.014545
USD LowVol ex-Alts,MSJPANL,0.012727
USD LowVol ex-Alts,MSPXJPL,0.012727
USD LowVol ex-Alts,MSUTDKL,0.009091
USD LowVol ex-HFs,LHTRYIN,0.666669
USD LowVol ex-HFs,LHYIELD,0.107527
USD LowVol ex-HFs,FRUS1GR,0.037849
USD LowVol ex-HFs,FRUS1VA,0.037849
USD LowVol ex-HFs,MSEMKF$,0.025806
USD LowVol ex-HFs,MSEXUKL,0.024086
USD LowVol ex-HFs,PE_BUYOUT,0.017742
USD LowVol ex-HFs,FRUSS2L,0.013763
USD LowVol ex-HFs,PRIVATE_CREDIT,0.012903
USD LowVol ex-HFs,MSJPANL,0.012043
USD LowVol ex-HFs,MSPXJPL,0.012043
USD LowVol ex-HFs,PE_GROWTH,0.009677
USD LowVol ex-HFs,MSUTDKL,0.008602
USD LowVol ex-HFs,PA_REAL_ESTATE,0.008602
USD LowVol ex-HFs,PE_VENTURE,0.004839
USD LowVol ex-HFs ex-RAs,LHTRYIN,0.666669
USD LowVol ex-HFs ex-RAs,LHYIELD,0.107527
USD LowVol ex-HFs ex-RAs,FRUS1GR,0.037849
USD LowVol ex-HFs ex-RAs,FRUS1VA,0.037849
USD LowVol ex-HFs ex-RAs,MSEMKF$,0.025806
USD LowVol ex-HFs ex-RAs,MSEXUKL,0.024086
USD LowVol ex-HFs ex-RAs,PRIVATE_CREDIT,0.021505
USD LowVol ex-HFs ex-RAs,PE_BUYOUT,0.017742
USD LowVol ex-HFs ex-RAs,FRUSS2L,0.013763
USD LowVol ex-HFs ex-RAs,MSJPANL,0.012043
USD LowVol ex-HFs ex-RAs,MSPXJPL,0.012043
USD LowVol ex-HFs ex-RAs,PE_GROWTH,0.009677
USD LowVol ex-HFs ex-RAs,MSUTDKL,0.008602
USD LowVol ex-HFs ex-RAs,PE_VENTURE,0.004839
USD LowVol Full ex-RAs,LHTRYIN,0.62
USD LowVol Full ex-RAs,LHYIELD,0.1
USD LowVol Full ex-RAs,FRUS1GR,0.0352
USD LowVol Full ex-RAs,FRUS1VA,0.0352
USD LowVol Full ex-RAs,CSTLNSH,0.028
USD LowVol Full ex-RAs,CSTEVDH,0.0245
USD LowVol Full ex-RAs,MSEMKF$,0.024
USD LowVol Full ex-RAs,MSEXUKL,0.0224
USD LowVol Full ex-RAs,PRIVATE_CREDIT,0.02
USD LowVol Full ex-RAs,CSFBMTT,0.0175
USD LowVol Full ex-RAs,PE_BUYOUT,0.0165
USD LowVol Full ex-RAs,FRUSS2L,0.0128
USD LowVol Full ex-RAs,MSJPANL,0.0112
USD LowVol Full ex-RAs,MSPXJPL,0.0112
USD LowVol Full ex-RAs,PE_GROWTH,0.009
USD LowVol Full ex-RAs,MSUTDKL,0.008
USD LowVol Full ex-RAs,PE_VENTURE,0.0045
USD Conservative Full,LHTRYIN,0.5
USD Conservative Full,LHYIELD,0.1
USD Conservative Full,FRUS1GR,0.0528
USD Conservative Full,FRUS1VA,0.0528
USD Conservative Full,MSEMKF$,0.036
USD Conservative Full,CSTLNSH,0.036
USD Conservative Full,MSEXUKL,0.0336
USD Conservative Full,CSTEVDH,0.0315
USD Conservative Full,CSFBMTT,0.0225
USD Conservative Full,PE_BUYOUT,0.022
USD Conservative Full,FRUSS2L,0.0192
USD Conservative Full,PRIVATE_CREDIT,0.018
USD Conservative Full,MSJPANL,0.0168
USD Conservative Full,MSPXJPL,0.0168
USD Conservative Full,MSUTDKL,0.012
USD Conservative Full,PE_GROWTH,0.012
USD Conservative Full,PA_REAL_ESTATE,0.012
USD Conservative Full,PE_VENTURE,0.006
USD Conservative Core,LHTRYIN,0.537633
USD Conservative Core,LHYIELD,0.107527
USD Conservative Core,FRUS1GR,0.056774
USD Conservative Core,FRUS1VA,0.056774
USD Conservative Core,MSEMKF$,0.03871
USD Conservative Core,CSTLNSH,0.03871
USD Conservative Core,MSEXUKL,0.036129
USD Conservative Core,CSTEVDH,0.033871
USD Conservative Core,CSFBMTT,0.024194
USD Conservative Core,FRUSS2L,0.020645
USD Conservative Core,MSJPANL,0.018065
USD Conservative Core,MSPXJPL,0.018065
USD Conservative Core,MSUTDKL,0.012903
USD Conservative ex-Alts,LHTRYIN,0.595238
USD Conservative ex-Alts,LHYIELD,0.119048
USD Conservative ex-Alts,FRUS1GR,0.062857
USD Conservative ex-Alts,FRUS1VA,0.062857
USD Conservative ex-Alts,MSEMKF$,0.042857
USD Conservative ex-Alts,MSEXUKL,0.04
USD Conservative ex-Alts,FRUSS2L,0.022857
USD Conservative ex-Alts,MSJPANL,0.02
USD Conservative ex-Alts,MSPXJPL,0.02
USD Conservative ex-Alts,MSUTDKL,0.014286
USD Conservative ex-HFs,LHTRYIN,0.54945
USD Conservative ex-HFs,LHYIELD,0.10989
USD Conservative ex-HFs,FRUS1GR,0.058022
USD Conservative ex-HFs,FRUS1VA,0.058022
USD Conservative ex-HFs,MSEMKF$,0.03956
USD Conservative ex-HFs,MSEXUKL,0.036923
USD Conservative ex-HFs,PE_BUYOUT,0.024176
USD Conservative ex-HFs,FRUSS2L,0.021099
USD Conservative ex-HFs,PRIVATE_CREDIT,0.01978
USD Conservative ex-HFs,MSJPANL,0.018462
USD Conservative ex-HFs,MSPXJPL,0.018462
USD Conservative ex-HFs,MSUTDKL,0.013187
USD Conservative ex-HFs,PE_GROWTH,0.013187
USD Conservative ex-HFs,PA_REAL_ESTATE,0.013187
USD Conservative ex-HFs,PE_VENTURE,0.006593
USD Conservative ex-HFs ex-RAs,LHTRYIN,0.54945
USD Conservative ex-HFs ex-RAs,LHYIELD,0.10989
USD Conservative ex-HFs ex-RAs,FRUS1GR,0.058022
USD Conservative ex-HFs ex-RAs,FRUS1VA,0.058022
USD Conservative ex-HFs ex-RAs,MSEMKF$,0.03956
USD Conservative ex-HFs ex-RAs,MSEXUKL,0.036923
USD Conservative ex-HFs ex-RAs,PRIVATE_CREDIT,0.032967
USD Conservative ex-HFs ex-RAs,PE_BUYOUT,0.024176
USD Conservative ex-HFs ex-RAs,FRUSS2L,0.021099
USD Conservative ex-HFs ex-RAs,MSJPANL,0.018462
USD Conservative ex-HFs ex-RAs,MSPXJPL,0.018462
USD Conservative ex-HFs ex-RAs,MSUTDKL,0.013187
USD Conservative ex-HFs ex-RAs,PE_GROWTH,0.013187
USD Conservative ex-HFs ex-RAs,PE_VENTURE,0.006593
USD Conservative Full ex-RAs,LHTRYIN,0.5
USD Conservative Full ex-RAs,LHYIELD,0.1
USD Conservative Full ex-RAs,FRUS1GR,0.0528
USD Conservative Full ex-RAs,FRUS1VA,0.0528
USD Conservative Full ex-RAs,MSEMKF$,0.036
USD Conservative Full ex-RAs,CSTLNSH,0.036
USD Conservative Full ex-RAs,MSEXUKL,0.0336
USD Conservative Full ex-RAs,CSTEVDH,0.0315
USD Conservative Full ex-RAs,PRIVATE_CREDIT,0.03
USD Conservative Full ex-RAs,CSFBMTT,0.0225
USD Conservative Full ex-RAs,PE_BUYOUT,0.022
USD Conservative Full ex-RAs,FRUSS2L,0.0192
USD Conservative Full ex-RAs,MSJPANL,0.0168
USD Conservative Full ex-RAs,MSPXJPL,0.0168
USD Conservative Full ex-RAs,MSUTDKL,0.012
USD Conservative Full ex-RAs,PE_GROWTH,0.012
USD Conservative Full ex-RAs,PE_VENTURE,0.006
USD ConsMod Full,LHTRYIN,0.4
USD ConsMod Full,LHYIELD,0.09
USD ConsMod Full,FRUS1GR,0.0704
USD ConsMod Full,FRUS1VA,0.0704
USD ConsMod Full,MSEMKF$,0.048
USD ConsMod Full,MSEXUKL,0.0448
USD ConsMod Full,CSTLNSH,0.04
USD ConsMod Full,CSTEVDH,0.035
USD ConsMod Full,PE_BUYOUT,0.0275
USD ConsMod Full,FRUSS2L,0.0256
USD ConsMod Full,CSFBMTT,0.025
USD ConsMod Full,PRIVATE_CREDIT,0.024
USD ConsMod Full,MSJPANL,0.0224
USD ConsMod Full,MSPXJPL,0.0224
USD ConsMod Full,MSUTDKL,0.016
USD ConsMod Full,PA_REAL_ESTATE,0.016
USD ConsMod Full,PE_GROWTH,0.015
USD ConsMod Full,PE_VENTURE,0.0075
USD ConsMod Core,LHTRYIN,0.43956
USD ConsMod Core,LHYIELD,0.098901
USD ConsMod Core,FRUS1GR,0.077363
USD ConsMod Core,FRUS1VA,0.077363
USD ConsMod Core,MSEMKF$,0.052747
USD ConsMod Core,MSEXUKL,0.049231
USD ConsMod Core,CSTLNSH,0.043956
USD ConsMod Core,CSTEVDH,0.038462
USD ConsMod Core,FRUSS2L,0.028132
USD ConsMod Core,CSFBMTT,0.027473
USD ConsMod Core,MSJPANL,0.024615
USD ConsMod Core,MSPXJPL,0.024615
USD ConsMod Core,MSUTDKL,0.017582
USD ConsMod ex-Alts,LHTRYIN,0.493827
USD ConsMod ex-Alts,LHYIELD,0.111111
USD ConsMod ex-Alts,FRUS1GR,0.086914
USD ConsMod ex-Alts,FRUS1VA,0.086914
USD ConsMod ex-Alts,MSEMKF$,0.059259
USD ConsMod ex-Alts,MSEXUKL,0.055309
USD ConsMod ex-Alts,FRUSS2L,0.031605
USD ConsMod ex-Alts,MSJPANL,0.027654
USD ConsMod ex-Alts,MSPXJPL,0.027654
USD ConsMod ex-Alts,MSUTDKL,0.019753
USD ConsMod ex-HFs,LHTRYIN,0.444444
USD ConsMod ex-HFs,LHYIELD,0.1
USD ConsMod ex-HFs,FRUS1GR,0.078222
USD ConsMod ex-HFs,FRUS1VA,0.078222
USD ConsMod ex-HFs,MSEMKF$,0.053333
USD ConsMod ex-HFs,MSEXUKL,0.049778
USD ConsMod ex-HFs,PE_BUYOUT,0.030556
USD ConsMod ex-HFs,FRUSS2L,0.028444
USD ConsMod ex-HFs,PRIVATE_CREDIT,0.026667
USD ConsMod ex-HFs,MSJPANL,0.024889
USD ConsMod ex-HFs,MSPXJPL,0.024889
USD ConsMod ex-HFs,MSUTDKL,0.017778
USD ConsMod ex-HFs,PA_REAL_ESTATE,0.017778
USD ConsMod ex-HFs,PE_GROWTH,0.016667
USD ConsMod ex-HFs,PE_VENTURE,0.008333
USD ConsMod ex-HFs ex-RAs,LHTRYIN,0.444445
USD ConsMod ex-HFs ex-RAs,LHYIELD,0.1
USD ConsMod ex-HFs ex-RAs,FRUS1GR,0.078222
USD ConsMod ex-HFs ex-RAs,FRUS1VA,0.078222
USD ConsMod ex-HFs ex-RAs,MSEMKF$,0.053333
USD ConsMod ex-HFs ex-RAs,MSEXUKL,0.049778
USD ConsMod ex-HFs ex-RAs,PRIVATE_CREDIT,0.044444
USD ConsMod ex-HFs ex-RAs,PE_BUYOUT,0.030556
USD ConsMod ex-HFs ex-RAs,FRUSS2L,0.028444
USD ConsMod ex-HFs ex-RAs,MSJPANL,0.024889
USD ConsMod ex-HFs ex-RAs,MSPXJPL,0.024889
USD ConsMod ex-HFs ex-RAs,MSUTDKL,0.017778
USD ConsMod ex-HFs ex-RAs,PE_GROWTH,0.016667
USD ConsMod ex-HFs ex-RAs,PE_VENTURE,0.008333
USD ConsMod Full ex-RAs,LHTRYIN,0.4
USD ConsMod Full ex-RAs,LHYIELD,0.09
USD ConsMod Full ex-RAs,FRUS1GR,0.0704
USD ConsMod Full ex-RAs,FRUS1VA,0.0704
USD ConsMod Full ex-RAs,MSEMKF$,0.048
USD ConsMod Full ex-RAs,MSEXUKL,0.0448
USD ConsMod Full ex-RAs,CSTLNSH,0.04
USD ConsMod Full ex-RAs,PRIVATE_CREDIT,0.04
USD ConsMod Full ex-RAs,CSTEVDH,0.035
USD ConsMod Full ex-RAs,PE_BUYOUT,0.0275
USD ConsMod Full ex-RAs,FRUSS2L,0.0256
USD ConsMod Full ex-RAs,CSFBMTT,0.025
USD ConsMod Full ex-RAs,MSJPANL,0.0224
USD ConsMod Full ex-RAs,MSPXJPL,0.0224
USD ConsMod Full ex-RAs,MSUTDKL,0.016
USD ConsMod Full ex-RAs,PE_GROWTH,0.015
USD ConsMod Full ex-RAs,PE_VENTURE,0.0075
USD Moderate Full,LHTRYIN,0.34
USD Moderate Full,LHYIELD,0.09
USD Moderate Full,FRUS1GR,0.0836
USD Moderate Full,FRUS1VA,0.0836
USD Moderate Full,MSEMKF$,0.057
USD Moderate Full,MSEXUKL,0.0532
USD Moderate Full,CSTLNSH,0.04
USD Moderate Full,CSTEVDH,0.035
USD Moderate Full,FRUSS2L,0.0304
USD Moderate Full,PE_BUYOUT,0.0275
USD Moderate Full,MSJPANL,0.0266
USD Moderate Full,MSPXJPL,0.0266
USD Moderate Full,CSFBMTT,0.025
USD Moderate Full,PRIVATE_CREDIT,0.024
USD Moderate Full,MSUTDKL,0.019
USD Moderate Full,PA_REAL_ESTATE,0.016
USD Moderate Full,PE_GROWTH,0.015
USD Moderate Full,PE_VENTURE,0.0075
USD Moderate Core,LHTRYIN,0.373625
USD Moderate Core,LHYIELD,0.098901
USD Moderate Core,FRUS1GR,0.091868
USD Moderate Core,FRUS1VA,0.091868
USD Moderate Core,MSEMKF$,0.062637
USD Moderate Core,MSEXUKL,0.058462
USD Moderate Core,CSTLNSH,0.043956
USD Moderate Core,CSTEVDH,0.038462
USD Moderate Core,FRUSS2L,0.033407
USD Moderate Core,MSJPANL,0.029231
USD Moderate Core,MSPXJPL,0.029231
USD Moderate Core,CSFBMTT,0.027473
USD Moderate Core,MSUTDKL,0.020879
USD Moderate ex-Alts,LHTRYIN,0.419752
USD Moderate ex-Alts,LHYIELD,0.111111
USD Moderate ex-Alts,FRUS1GR,0.10321
USD Moderate ex-Alts,FRUS1VA,0.10321
USD Moderate ex-Alts,MSEMKF$,0.07037
USD Moderate ex-Alts,MSEXUKL,0.065679
USD Moderate ex-Alts,FRUSS2L,0.037531
USD Moderate ex-Alts,MSJPANL,0.03284
USD Moderate ex-Alts,MSPXJPL,0.03284
USD Moderate ex-Alts,MSUTDKL,0.023457
