,,DY,RI,PI,MV
MSARGT$,1969-12-31,,,,
MSARGT$,1970-01-01,,,,
MSARGT$,1970-01-02,,,,
MSARGT$,1970-01-05,,,,
MSARGT$,1970-01-06,,,,
MSARGT$,1970-01-07,,,,
MSARGT$,1970-01-08,,,,
MSARGT$,1970-01-09,,,,
MSARGT$,1970-01-12,,,,
MSARGT$,1970-01-13,,,,
MSARGT$,1970-01-14,,,,
MSARGT$,1970-01-15,,,,
MSARGT$,1970-01-16,,,,
MSARGT$,1970-01-19,,,,
MSARGT$,1970-01-20,,,,
MSARGT$,1970-01-21,,,,
MSARGT$,1970-01-22,,,,
MSARGT$,1970-01-23,,,,
MSARGT$,1970-01-26,,,,
MSARGT$,1970-01-27,,,,
MSARGT$,1970-01-28,,,,
MSARGT$,1970-01-29,,,,
MSARGT$,1970-01-30,,,,
MSARGT$,1970-02-02,,,,
MSARGT$,1970-02-03,,,,
MSARGT$,1970-02-04,,,,
MSARGT$,1970-02-05,,,,
MSARGT$,1970-02-06,,,,
MSARGT$,1970-02-09,,,,
MSARGT$,1970-02-10,,,,
MSARGT$,1970-02-11,,,,
MSARGT$,1970-02-12,,,,
MSARGT$,1970-02-13,,,,
MSARGT$,1970-02-16,,,,
MSARGT$,1970-02-17,,,,
MSARGT$,1970-02-18,,,,
MSARGT$,1970-02-19,,,,
MSARGT$,1970-02-20,,,,
MSARGT$,1970-02-23,,,,
MSARGT$,1970-02-24,,,,
MSARGT$,1970-02-25,,,,
MSARGT$,1970-02-26,,,,
MSARGT$,1970-02-27,,,,
MSARGT$,1970-03-02,,,,
MSARGT$,1970-03-03,,,,
MSARGT$,1970-03-04,,,,
MSARGT$,1970-03-05,,,,
MSARGT$,1970-03-06,,,,
MSARGT$,1970-03-09,,,,
MSARGT$,1970-03-10,,,,
MSARGT$,1970-03-11,,,,
MSARGT$,1970-03-12,,,,
MSARGT$,1970-03-13,,,,
MSARGT$,1970-03-16,,,,
MSARGT$,1970-03-17,,,,
MSARGT$,1970-03-18,,,,
