# uid	ticker	name	region	category	provider	datasource	symbol	frequency	uid	foreign_currency	domestic_currency	bbid	maturity	type
1910	AUSTDO$	United States Dollar to Australian Dollar Spot	United States	FX	WM/Refinitiv	Datastream	AUSTDO$	B	1910	AUD	USD	AUDUSD	0m	Outright
1911	AUSTDOI	Australian Dollar To United States Dollar Spot	Australia	FX	Refinitiv	Datastream	AUSTDOI	B	1911	USD	AUD	USDAUD	0m	Outright
1912	AUSTRUS	United States Dollar To Australian Dollar Spot	United States	FX	GTIS - FTID/TR	Datastream	AUSTRUS	B	1912	AUD	USD	AUDUSD	0m	Outright
1914	AUSTSC$	Austrian Schilling To United States Dollar Spot	Austria	FX	WM/Refinitiv	Datastream	AUSTSC$	B	1914	USD	ATS	USDATS	0m	Outright
1915	BBAUD1F	Australian Dollar To United States Dollar 1 Month Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUD1F	B	1915	USD	AUD	USDAUD	1m	Outright
1916	BBAUD2F	Australian Dollar To United States Dollar 2 Month Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUD2F	B	1916	USD	AUD	USDAUD	2m	Outright
1917	BBAUD3F	Australian Dollar To United States Dollar 3 Month Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUD3F	B	1917	USD	AUD	USDAUD	3m	Outright
1918	BBAUD6F	Australian Dollar To United States Dollar 6 Month Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUD6F	B	1918	USD	AUD	USDAUD	6m	Outright
1919	BBAUDSP	Australian Dollar To United States Dollar Spot	Australia	FX	Barclays Bank PLC	Datastream	BBAUDSP	B	1919	USD	AUD	USDAUD	0m	Outright
1920	BBAUDYF	Australian Dollar To United States Dollar 1 Year Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUDYF	B	1920	USD	AUD	USDAUD	1y	Outright
1921	BBCAD1F	Canadian Dollar To United States Dollar 1 Month Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCAD1F	B	1921	USD	CAD	USDCAD	1m	Outright
1922	BBCAD2F	Canadian Dollar To United States Dollar 2 Month Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCAD2F	B	1922	USD	CAD	USDCAD	2m	Outright
1923	BBCAD3F	Canadian Dollar To United States Dollar 3 Month Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCAD3F	B	1923	USD	CAD	USDCAD	3m	Outright
1924	BBCAD6F	Canadian Dollar To United States Dollar 6 Month Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCAD6F	B	1924	USD	CAD	USDCAD	6m	Outright
1925	BBCADSP	Canadian Dollar To United States Dollar Spot	Canada	FX	Barclays Bank PLC	Datastream	BBCADSP	B	1925	USD	CAD	USDCAD	0m	Outright
1926	BBCADYF	Canadian Dollar To United States Dollar 1 Year Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCADYF	B	1926	USD	CAD	USDCAD	1y	Outright
1927	BBCHF1F	Swiss Franc To United States Dollar 1 Month Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHF1F	B	1927	USD	CHF	USDCHF	1m	Outright
1928	BBCHF2F	Swiss Franc To United States Dollar 2 Month Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHF2F	B	1928	USD	CHF	USDCHF	2m	Outright
1929	BBCHF3F	Swiss Franc To United States Dollar 3 Month Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHF3F	B	1929	USD	CHF	USDCHF	3m	Outright
1930	BBCHF6F	Swiss Franc To United States Dollar 6 Month Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHF6F	B	1930	USD	CHF	USDCHF	6m	Outright
1931	BBCHFSP	Swiss Franc To United States Dollar Spot	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHFSP	B	1931	USD	CHF	USDCHF	0m	Outright
1932	BBCHFYF	Swiss Franc To United States Dollar 1 Year Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHFYF	B	1932	USD	CHF	USDCHF	1y	Outright
1933	BBDEMSP	German Mark To United States Dollar Spot	Germany	FX	Barclays Bank PLC	Datastream	BBDEMSP	B	1933	USD	DEM	USDDEM	0m	Outright
1934	BBDKK1F	Danish Krone To United States Dollar 1 Month Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKK1F	B	1934	USD	DKK	USDDKK	1m	Outright
1935	BBDKK2F	Danish Krone To United States Dollar 2 Month Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKK2F	B	1935	USD	DKK	USDDKK	2m	Outright
1936	BBDKK3F	Danish Krone To United States Dollar 3 Month Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKK3F	B	1936	USD	DKK	USDDKK	3m	Outright
1937	BBDKK6F	Danish Krone To United States Dollar 6 Month Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKK6F	B	1937	USD	DKK	USDDKK	6m	Outright
1938	BBDKKSP	Danish Krone To United States Dollar Spot	Denmark	FX	Barclays Bank PLC	Datastream	BBDKKSP	B	1938	USD	DKK	USDDKK	0m	Outright
1939	BBDKKYF	Danish Krone To United States Dollar 1 Year Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKKYF	B	1939	USD	DKK	USDDKK	1y	Outright
1940	BBEUR1F	Euro To United States Dollar 1 Month Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEUR1F	B	1940	USD	EUR	USDEUR	1m	Outright
1941	BBEUR2F	Euro To United States Dollar 2 Month Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEUR2F	B	1941	USD	EUR	USDEUR	2m	Outright
1942	BBEUR3F	Euro To United States Dollar 3 Month Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEUR3F	B	1942	USD	EUR	USDEUR	3m	Outright
1943	BBEUR6F	Euro To United States Dollar 6 Month Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEUR6F	B	1943	USD	EUR	USDEUR	6m	Outright
1944	BBEURSP	Euro To United States Dollar Spot	Eurozone	FX	Barclays Bank PLC	Datastream	BBEURSP	B	1944	USD	EUR	USDEUR	0m	Outright
1945	BBEURYF	Euro To United States Dollar 1 Year Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEURYF	B	1945	USD	EUR	USDEUR	1y	Outright
1946	BBFRFSP	French Franc To United States Dollar Spot	France	FX	Barclays Bank PLC	Datastream	BBFRFSP	B	1946	USD	FRF	USDFRF	0m	Outright
1947	BBGBP1F	United States Dollar To United Kingdom Pound 1 Month Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBP1F	B	1947	GBP	USD	GBPUSD	1m	Outright
1948	BBGBP2F	United States Dollar To United Kingdom Pound 2 Month Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBP2F	B	1948	GBP	USD	GBPUSD	2m	Outright
1949	BBGBP3F	United States Dollar To United Kingdom Pound 3 Month Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBP3F	B	1949	GBP	USD	GBPUSD	3m	Outright
1950	BBGBP6F	United States Dollar To United Kingdom Pound 6 Month Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBP6F	B	1950	GBP	USD	GBPUSD	6m	Outright
1951	BBGBPSP	United States Dollar To United Kingdom Pound Spot	United States	FX	Barclays Bank PLC	Datastream	BBGBPSP	B	1951	GBP	USD	GBPUSD	0m	Outright
1952	BBGBPYF	United States Dollar To United Kingdom Pound 1 Year Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBPYF	B	1952	GBP	USD	GBPUSD	1y	Outright
1953	BBIEPSP	United States Dollar To Irish Pound Spot	United States	FX	Barclays Bank PLC	Datastream	BBIEPSP	B	1953	IEP	USD	IEPUSD	0m	Outright
1954	BBITLSP	Italian Lira To United States Dollar Spot	Italy	FX	Barclays Bank PLC	Datastream	BBITLSP	B	1954	USD	ITL	USDITL	0m	Outright
1955	BBJPY1F	Japanese Yen To United States Dollar 1 Month Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPY1F	B	1955	USD	JPY	USDJPY	1m	Outright
1956	BBJPY2F	Japanese Yen To United States Dollar 2 Month Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPY2F	B	1956	USD	JPY	USDJPY	2m	Outright
1957	BBJPY3F	Japanese Yen To United States Dollar 3 Month Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPY3F	B	1957	USD	JPY	USDJPY	3m	Outright
1958	BBJPY6F	Japanese Yen To United States Dollar 6 Month Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPY6F	B	1958	USD	JPY	USDJPY	6m	Outright
1959	BBJPYSP	Japanese Yen To United States Dollar Spot	Japan	FX	Barclays Bank PLC	Datastream	BBJPYSP	B	1959	USD	JPY	USDJPY	0m	Outright
1960	BBJPYYF	Japanese Yen To United States Dollar 1 Year Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPYYF	B	1960	USD	JPY	USDJPY	1y	Outright
1961	BBNLGSP	Dutch Guilder To United States Dollar Spot	Netherlands	FX	Barclays Bank PLC	Datastream	BBNLGSP	B	1961	USD	NLG	USDNLG	0m	Outright
1962	BBNOK1F	Norwegian Krone To United States Dollar 1 Month Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOK1F	B	1962	USD	NOK	USDNOK	1m	Outright
1963	BBNOK2F	Norwegian Krone To United States Dollar 2 Month Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOK2F	B	1963	USD	NOK	USDNOK	2m	Outright
1964	BBNOK3F	Norwegian Krone To United States Dollar 3 Month Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOK3F	B	1964	USD	NOK	USDNOK	3m	Outright
1965	BBNOK6F	Norwegian Krone To United States Dollar 6 Month Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOK6F	B	1965	USD	NOK	USDNOK	6m	Outright
1966	BBNOKSP	Norwegian Krone To United States Dollar Spot	Norway	FX	Barclays Bank PLC	Datastream	BBNOKSP	B	1966	USD	NOK	USDNOK	0m	Outright
1967	BBNOKYF	Norwegian Krone To United States Dollar 1 Year Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOKYF	B	1967	USD	NOK	USDNOK	1y	Outright
1968	BBNZD1F	New Zealand Dollar To United States Dollar 1 Month Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZD1F	B	1968	USD	NZD	USDNZD	1m	Outright
1969	BBNZD2F	New Zealand Dollar To United States Dollar 2 Month Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZD2F	B	1969	USD	NZD	USDNZD	2m	Outright
1970	BBNZD3F	New Zealand Dollar To United States Dollar 3 Month Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZD3F	B	1970	USD	NZD	USDNZD	3m	Outright
1971	BBNZD6F	New Zealand Dollar To United States Dollar 6 Month Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZD6F	B	1971	USD	NZD	USDNZD	6m	Outright
1972	BBNZDSP	New Zealand Dollar To United States Dollar Spot	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZDSP	B	1972	USD	NZD	USDNZD	0m	Outright
1973	BBNZDYF	New Zealand Dollar To United States Dollar 1 Year Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZDYF	B	1973	USD	NZD	USDNZD	1y	Outright
1974	BBSEK1F	Swedish Krona To United States Dollar 1 Month Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEK1F	B	1974	USD	SEK	USDSEK	1m	Outright
1975	BBSEK2F	Swedish Krona To United States Dollar 2 Month Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEK2F	B	1975	USD	SEK	USDSEK	2m	Outright
1976	BBSEK3F	Swedish Krona To United States Dollar 3 Month Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEK3F	B	1976	USD	SEK	USDSEK	3m	Outright
1977	BBSEK6F	Swedish Krona To United States Dollar 6 Month Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEK6F	B	1977	USD	SEK	USDSEK	6m	Outright
1978	BBSEKSP	Swedish Krona To United States Dollar Spot	Sweden	FX	Barclays Bank PLC	Datastream	BBSEKSP	B	1978	USD	SEK	USDSEK	0m	Outright
1979	BBSEKYF	Swedish Krona To United States Dollar 1 Year Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEKYF	B	1979	USD	SEK	USDSEK	1y	Outright
1980	BBZAR1F	South African Rand To United States Dollar 1 Month Forward	South Africa	FX	Barclays Bank PLC	Datastream	BBZAR1F	B	1980	USD	ZAR	USDZAR	1m	Outright
1981	BBZAR2F	South African Rand To United States Dollar 2 Month Forward	South Africa	FX	Barclays Bank PLC	Datastream	BBZAR2F	B	1981	USD	ZAR	USDZAR	2m	Outright
